codigo_ref;subpartidas;nombre;observaciones;cliente;parte_numero;unidad;Embalaje;U_empaque;fecha_expira;vigencia;min_stock;lote_cosecha;alto;largo;ancho;serial;tipo;grupo_item;factor_conversion
AGUI01;2203000000;AGUILA LATA;HB360;793264110;LATA;1;PCE;CT;1;2024-01-15;0;HB2018;1;1;1;1;15;4110;1
BBC01;2203000000;CERVEZA ARTESANAL BBC;KH500;793264110;LATA;1;PCE;CS;0;2024-01-15;0;KH2107;1;1;1;1;15;4110;1
BUDWBOT;2203000000;BUDWISSER BOTELLA;;793264110;BOTELLA;1;PCE;BT;1;2024-01-15;0;DRYPELI;1;1;1;1;15;4110;1
BUDWLAT;2203000000;BUDWISSER LATA;;793264110;LATA;1;PCE;BT;;2024-01-15;;LATRIB;1;1;1;1;15;4110;1
CLUBD01;2203000000;CLUB COLOMBIA DORADA;;793264110;LATA;1;PCE;BT;1;2024-01-15;0;CHINA;1;1;1;1;15;4110;1
CLUBR02;2203000000;CLUB COLOMBIA ROJA;;793264110;LATA;1;PCE;CS;0;2024-01-15;0;STAPLER;1;1;1;1;15;4110;1
CLUBN03;2203000000;CLUB COLOMBIA NEGRA;;793264110;LATA;1;PCE;PI;1;2024-01-15;0;PEGASO;1;1;1;1;15;4110;1
CORONIBOT;2203000000;CORONITA BOTELLA;;793264110;BOTELLA;1;PCE;CT;;2024-01-15;;LATRIB;1;1;1;1;15;4110;1
HEINEKBOT;2203000000;HEINEKEN BOTELLA;;793264110;BOTELLA;1;PCE;CS;;2024-01-15;;LATRIB;1;1;1;1;15;4110;1
HEINEKLAT;2203000000;HEINEKEN LATA;;793264110;LATA;1;PCE;BT;;2024-01-15;;LATRIB;1;1;1;1;15;4110;1
POKER01;2203000000;CERVEZA POKER;;793264110;LATA;1;PCE;BT;;2024-01-15;;LATRIB;1;1;1;1;15;4110;1
CORONILAT;2203000000;CORONITA LATA;;793264110;LATA;1;PCE;BT;;2024-01-15;;LATRIB;1;1;1;1;15;4110;1
CANELAZO;2208902000;AGUARDIENTE CANELAZO COPA;;793264110;COPA;1;PCE;CS;;2024-01-15;;LATRIB;1;1;1;1;15;4110;1
HOTWINE;2204100010;VINO CALIENTE COPA;;793264110;COPA;1;PCE;PI;;2024-01-15;;LATRIB;1;1;1;1;15;4110;1
HITL01;1302;JUGOS HIT;;793264110;BOTELLA;1;PCE;CT;;2024-01-15;;LATRIB;1;1;1;1;15;4110;1
PONYM01;2201100000;PONY MALTA;;793264110;BOTELLA;1;PCE;CS;;2024-01-15;;LATRIB;1;1;1;1;15;4110;1
GATOR01;2201100000;GATORADE;;793264110;BOTELLA;1;PCE;BT;;2024-01-15;;LATRIB;1;1;1;1;15;4110;1
JUGONECT14;2201100000;JUGOS NECTAS;;793264110;BOTELLA;1;PCE;BT;;2024-01-15;;LATRIB;1;1;1;1;15;4110;1
MRTEA;2201100000;MR TEA;;793264110;BOTELLA;1;PCE;BT;;2024-01-15;;LATRIB;1;1;1;1;15;4110;1
AGUAL;2201100000;AGUA BOTELLA;;793264110;BOTELLA;1;PCE;CS;;2024-01-15;;LATRIB;1;1;1;1;15;4110;1
COCAK;2201100000;COCA KOLA;;793264110;BOTELLA;1;PCE;PI;;2024-01-15;;LATRIB;1;1;1;1;15;4110;1
GASWAT;2201100000;AGUA CON GAS;;793264110;BOTELLA;1;PCE;CT;;2024-01-15;;LATRIB;1;1;1;1;15;4110;1
POSTOBN;2201100000;GASESOSA POSTOBON;;793264110;BOTELLA;1;PCE;CS;;2024-01-15;;LATRIB;1;1;1;1;15;4110;1
PIE012;2306700000;EMPANADAS CARNE Y POLLO;;793264110;UNIDAD;1;PCE;BT;;2024-01-15;;LATRIB;1;1;1;1;15;4110;1
PIE034;2306700000;PANCEROTIES;;793264110;UNIDAD;1;PCE;BT;;2024-01-15;;LATRIB;1;1;1;1;15;4110;1
CHEESK01;2306700000;TORTAS DE QUESO;;793264110;UNIDAD;1;PCE;BT;;2024-01-15;;LATRIB;1;1;1;1;15;4110;1
PAPAS02;2306700000;PAQUETES DE PAPAS;;793264110;UNIDAD;1;PCE;CS;;2024-01-15;;LATRIB;1;1;1;1;15;4110;1
COOKICH;2306700000;GALLETAS CHOCOLATE;;793264110;UNIDAD;1;PCE;PI;;2024-01-15;;LATRIB;1;1;1;1;15;4110;1
COOKIV;2306700000;GALLETAS VAINILLA;;793264110;UNIDAD;1;PCE;BT;;2024-01-15;;LATRIB;1;1;1;1;15;4110;1
MANI01;2306700000;SOBRE MANI;;793264110;UNIDAD;1;PCE;BT;;2024-01-15;;LATRIB;1;1;1;1;15;4110;1
CORN01;2306700000;SOBRE MAIZ;;793264110;UNIDAD;1;PCE;BT;;2024-01-15;;LATRIB;1;1;1;1;15;4110;1
CANDYCH;4005991000;DULCES CHICLES Y HALLS;;793264110;UNIDAD;1;PCE;CS;;2024-01-15;;LATRIB;1;1;1;1;15;4110;1
