codigo_ref;ref_prove;nombre;observaciones;cliente;parte_numero;unidad;unidad_venta;presentacion_venta;fecha_expira;vigencia;min_stock;lote_cosecha;alto;largo;ancho;serial;tipo;grupo_item;factor_conversion
99;9801900000;BULTOS O PIEZAS;NULL;52452565;1;3;6;24;1;#N/A;1;0;1;1;1;1;15;205;1
1030zarco;3926902000;prendas de vestir;NULL;52452565;1;1;6;28;0;#N/A;0;0;1;1;1;0;15;323;1
6920;3926906000;tapabocas;NULL;52452565;INVIMA10176;1;6;28;0;10/30/20;0;0;1;1;1;0;15;205;1
GA18MAYO;9999999998;DOCUMENTO DE TTE;NULL;52452565;1;3;6;45;0;#N/A;0;0;1;1;1;0;15;31;1
REMIS0621;9999999998;DOCUMENTO DE TTE;NULL;52452565;1;3;6;45;0;#N/A;0;0;1;1;1;0;15;2565;1
SAMY260617;9999999998;DOCUMENTO DE TTE;NULL;52452565;1;3;6;45;0;#N/A;0;0;1;1;1;0;15;2565;1
BLZARAT1707;9999999998;DOCUMENTO DE TTE;NULL;52452565;1;3;6;45;0;#N/A;0;0;1;1;1;0;15;2565;1
1204CBION17;3003100000;CEBION PASTILLAS MORA;NULL;52452565;1;1;5;28;1;#N/A;0;0;1;1;1;1;15;205;1
GA116575SET;9999999998;DOCUMENTO DE TTE;NULL;52452565;1;3;6;45;0;#N/A;0;0;1;1;1;0;15;2565;1
ZARATE0920;9999999998;DOCUMENTO DE TTE;NULL;52452565;1;3;6;45;0;#N/A;0;0;1;1;1;0;15;2565;1
