codigo_ref;ref_prove;nombre;observaciones;cliente;parte_numero;unidad;unidad_venta;presentacion_venta;fecha_expira;vigencia;min_stock;lote_cosecha;alto;largo;ancho;serial;tipo;grupo_item;factor_conversion
A1;9801900001;BULTOS O PIEZAS;obs1;52452565;1;3;6;24;1;2017/01/01;1;0;1;1;1;1;15;205;1
A2;9801900002;prendas de vestir;obs2;79816110;1;1;6;28;1;2017/01/01;0;0;1;1;1;0;15;323;1
A3;9801900003;tapabocas;obs3;52452565;INVIMA10176;1;6;28;1;2017/01/01;0;0;1;1;1;0;15;205;1
A4;9801900004;DOCUMENTO DE TTE;obs4;52452565;1;3;6;45;1;2017/01/01;0;0;1;1;1;0;15;31;1
A5;9801900005;DOCUMENTO DE TTE;obs5;900058510;1;3;6;45;1;2017/01/01;0;0;1;1;1;0;15;2565;1
A6;9801900006;DOCUMENTO DE TTE;obs6;900058510;1;3;6;45;1;2017/01/01;0;0;1;1;1;0;15;2565;1
A7;9801900007;DOCUMENTO DE TTE;obs7;52452565;1;3;6;45;1;2017/01/01;0;0;1;1;1;0;15;2565;1
A8;9801900008;CEBION PASTILLAS MORA;obs8;900058510;1;1;5;28;1;2017/01/01;0;0;1;1;1;1;15;205;1
A9;9801900009;DOCUMENTO DE TTE;obs9;900058510;1;3;6;45;1;2017/01/01;0;0;1;1;1;0;15;2565;1
A10;9801900010;DOCUMENTO DE TTE;obs10;52452565;parte_numero;1;2;presentacion_venta;1;2017/01/01;min_stock;lote_cosecha;alto;largo;ancho;serial;tipo;grupo_item;factor_conversion
