<<<<<<< HEAD
codigo_ref;ref_prove;nombre;observaciones;cliente;parte_numero;unidad;unidad_venta;presentacion_venta;fecha_expira;vigencia;min_stock;lote_cosecha;alto;largo;ancho;serial;tipo;grupo_item;factor_conversion
BYA197;9801900001;SEDA DENTAL;obs1;52452565;1;3;6;24;1;01/01/2017;1;0;1;1;1;1;15;205;1
BYA297;9801900002;CAMISETas;obs2;900058510;1;1;6;28;1;01/01/2017;0;0;1;1;1;0;15;323;1
BYA397;9801900003;GUANTES;obs3;52452565;INVIMA10176;1;6;28;1;01/01/2017;0;0;1;1;1;0;15;205;1
BYZ497;9801900004;PINZAS;obs4;52452565;1;3;6;45;1;01/01/2017;0;0;1;1;1;0;15;31;1
BYX597;9801900005;TIJERAS;obs5;900058510;1;3;6;45;1;01/01/2017;0;0;1;1;1;0;15;2565;1
BYA697;9801900006;SEGUETAS;obs6;900058510;1;3;6;45;1;01/01/2017;0;0;1;1;1;0;15;2565;1
BYA797;9801900007;ESMERIL;obs7;52452565;1;3;6;45;1;01/01/2017;0;0;1;1;1;0;15;2565;1
BYA897;9801900008;DISTAN ULTRA;obs8;900058510;1;1;5;28;1;01/01/2017;0;0;1;1;1;1;15;205;1
BYA997;9801900009;ASPIRINA;obs9;900058510;1;3;6;45;1;01/01/2017;0;0;1;1;1;0;15;2565;1
=======
codigo_ref;ref_prove;nombre;observaciones;cliente;parte_numero;unidad;unidad_comercial;unidad_inventario_presentacion_venta;fecha_expira;vigencia;min_stock;lote_cosecha;alto;largo;ancho;serial;tipo_refencias;grupo_item;factor_conversion
BYA197;9801900001;SEDA DENTAL;obs1;79208675;1;1;PCE;PK;1;2017/12/30;1;0;1;1;1;1;15;205;1
BYA297;9801900002;CAMISETas;obs2;79208675;1;1;PCE;PK;1;2017/12/30;0;0;1;1;1;0;15;323;1
XYA397;9801900003;GUANTES;obs3;79208675;INVIMA10176;1;PCE;PK;1;2017/12/30;0;0;1;1;1;0;15;205;1
BYZ497;9801900004;PINZAS;obs4;79208675;1;3;PCE;PK;1;2017/12/30;0;0;1;1;1;0;15;31;1
BYX597;9801900005;TIJERAS;obs5;79208675;1;3;PCE;PK;1;2017/12/30;0;0;1;1;1;0;15;2565;1
BYA697;9801900006;SEGUETAS;obs6;79208675;1;3;PCE;PK;1;2017/12/30;0;0;1;1;1;0;15;2565;1
BYA797;9801900007;ESMERIL;obs7;79208675;1;3;PCE;PK;1;2017/12/30;0;0;1;1;1;0;15;2565;1
BYA897;9801900008;DISTAN ULTRA;obs8;79208675;1;1;PCE;PK;1;2017/12/30;0;0;1;1;1;1;15;2565;1
BYA997;9801900009;ASPIRINA;obs9;79208675;1;3;PCE;PK;1;2017/12/30;0;0;1;1;1;0;15;2565;1
>>>>>>> 964074b870f730b71b5dbcb1a3eb53879aa79421
